Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2011-03-29,00:00,0,"24,3","22,9",82,76,82
2011-03-29,01:00,0,23,"22,7",90,82,90
2011-03-29,02:00,0,"22,9","22,4",92,90,92
2011-03-29,03:00,0,"22,5","22,3",92,91,91
2011-03-29,04:00,0,"22,3","21,8",91,90,90
2011-03-29,05:00,0,"21,9","21,5",91,89,90
2011-03-29,06:00,0,"21,7","21,6",91,88,89
2011-03-29,07:00,0,"21,6","21,1",91,88,91
2011-03-29,08:00,0,"21,2","20,5",94,91,94
2011-03-29,09:00,0,"20,8","20,2",94,93,94
2011-03-29,10:00,0,"20,3",20,95,94,95
2011-03-29,11:00,0,"21,5","20,2",95,92,92
2011-03-29,12:00,0,"23,2","21,5",93,83,85
2011-03-29,13:00,0,"23,8","22,5",85,78,81
2011-03-29,14:00,0,26,"23,3",81,69,69
2011-03-29,15:00,0,"26,8","24,6",74,64,68
2011-03-29,16:00,0,"27,8","25,1",70,57,58
2011-03-29,17:00,0,"27,6","24,7",72,58,72
2011-03-29,18:00,-9999,-9999,-9999,-9999,-9999,-9999
2011-03-29,19:00,-9999,-9999,-9999,-9999,-9999,-9999
2011-03-29,20:00,-9999,-9999,-9999,-9999,-9999,-9999
2011-03-29,21:00,0,"21,5",21,86,83,85
2011-03-29,22:00,0,21,"20,6",88,85,88
2011-03-29,23:00,0,"20,6","20,4",89,88,89
2011-03-30,00:00,0,"20,4",20,93,89,93
2011-03-30,01:00,0,"20,1",20,93,91,91
2011-03-30,02:00,0,"20,2","20,1",92,91,91
2011-03-30,03:00,0,"20,1","19,9",95,91,94
2011-03-30,04:00,0,"20,1","19,8",95,93,95
2011-03-30,05:00,0,"19,8","19,7",95,95,95
2011-03-30,06:00,0,"19,7","19,5",95,95,95
2011-03-30,07:00,0,"19,5","19,3",96,95,96
2011-03-30,08:00,0,"19,4","19,3",96,93,93
2011-03-30,09:00,0,"19,4","19,2",95,93,95
2011-03-30,10:00,0,"19,5","19,2",95,93,93
2011-03-30,11:00,0,"20,1","19,4",93,89,90
2011-03-30,12:00,0,"20,8",20,90,86,87
2011-03-30,13:00,0,"21,7","20,7",88,82,83
2011-03-30,14:00,0,"22,7","21,2",86,77,82
2011-03-30,15:00,0,22,"21,1",82,76,80
2011-03-30,16:00,0,"21,6","21,1",81,77,79
2011-03-30,17:00,-9999,-9999,-9999,-9999,-9999,-9999
2011-03-30,18:00,0,"21,8","21,1",79,75,77
2011-03-30,19:00,-9999,-9999,-9999,-9999,-9999,-9999
2011-03-30,20:00,0,"20,9",19,92,78,91
2011-03-30,21:00,0,"19,5","18,7",91,84,87
2011-03-30,22:00,0,"18,9","18,5",90,86,86
2011-03-30,23:00,0,19,"18,1",93,86,93
2011-03-31,00:00,0,"18,2","17,7",94,91,92
2011-03-31,01:00,0,"18,4","17,9",94,90,91
2011-03-31,02:00,0,"18,5","18,2",94,91,93
2011-03-31,03:00,0,"18,5","18,3",93,92,93
2011-03-31,04:00,0,"18,7","18,5",93,91,92
2011-03-31,05:00,0,"19,3","18,7",92,89,90
2011-03-31,06:00,0,"19,3",19,92,89,90
2011-03-31,07:00,0,"19,2","19,1",90,88,89
2011-03-31,08:00,0,"19,3","19,1",90,88,89
2011-03-31,09:00,0,"19,3","19,1",91,89,90
2011-03-31,10:00,0,"19,6",19,92,89,89
2011-03-31,11:00,0,"20,1","19,5",90,87,87
2011-03-31,12:00,0,"21,1",20,87,82,83
2011-03-31,13:00,0,"22,4","20,8",83,74,77
2011-03-31,14:00,0,"23,2","21,8",77,69,75
2011-03-31,15:00,0,"24,6","22,4",77,65,66
2011-03-31,16:00,0,"25,4","23,8",71,61,70
2011-03-31,17:00,0,"25,2","23,5",72,62,65
2011-03-31,18:00,0,"25,4","24,4",68,62,63
2011-03-31,19:00,0,"25,6","22,8",76,59,76
2011-03-31,20:00,0,"23,1","20,7",83,74,82
2011-03-31,21:00,0,"20,7","20,4",83,80,82
2011-03-31,22:00,0,"20,4","19,7",85,82,84
2011-03-31,23:00,0,"19,9","19,1",88,84,86
2011-04-01,00:00,0,"19,3","18,4",94,87,90
2011-04-01,01:00,0,"19,7","18,7",91,86,86
2011-04-01,02:00,0,"19,9","19,5",86,83,86
2011-04-01,03:00,0,"19,7","19,3",86,83,84
2011-04-01,04:00,0,"19,6",19,87,83,84
2011-04-01,05:00,0,"19,6",19,88,83,88
2011-04-01,06:00,0,"19,4",19,89,87,87
2011-04-01,07:00,0,"19,7","19,4",87,84,84
2011-04-01,08:00,0,"19,8","19,6",84,83,83
2011-04-01,09:00,0,"19,7","19,3",87,83,87
2011-04-01,10:00,0,"19,6","19,3",88,86,86
2011-04-01,11:00,0,"20,3","19,6",87,80,81
2011-04-01,12:00,0,21,"20,2",81,77,78
2011-04-01,13:00,0,"22,8",21,78,69,69
2011-04-01,14:00,0,"25,3","22,8",70,59,62
2011-04-01,15:00,0,"27,1",25,63,52,53
2011-04-01,16:00,0,"28,4","26,2",56,47,48
2011-04-01,17:00,0,"29,2",28,52,40,47
2011-04-01,18:00,0,"30,2","27,9",52,40,42
2011-04-01,19:00,0,"29,1","25,5",69,42,68
