SE,data_iniSE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
202312,2023-03-19,2724.0,2724,2724.0,2724,1.0,22.32754,0,4,355030820231219809,2024-03-27,0,1.3866495,12200180.0,19.8571428571429,87.5819271428571,1,1.0,2,75.4023978571429,53.904714,22.7440474285714,26.7142857142857,,,,,,399259
202311,2023-03-12,2293.0,2293,2293.0,2293,1.0,18.794806,0,4,355030820231119801,2024-03-19,0,1.3721675,12200180.0,20.1481481481481,91.0512692592593,1,1.0,2,89.64497,88.6491818518518,20.4320986666667,20.7407407407407,,,,,,399259
202310,2023-03-05,1936.0,1936,1936.0,1936,1.0,15.868618,0,3,355030820231019795,2024-03-13,0,1.345746,12200180.0,21.4285714285714,82.422247,1,1.0,2,80.1404651428571,77.5561068571429,21.8857142857143,22.4285714285714,,,,,,399259
202309,2023-02-26,1703.0,1703,1703.0,1703,1.0,13.958811,0,3,355030820230919787,2024-03-05,0,1.2980292,12200180.0,22.2857142857143,80.8571007142857,1,1.0,2,79.6172434285714,77.9788222857143,22.4714285714286,22.5714285714286,,,,,,399259
202308,2023-02-19,1335.0,1335,1335.0,1335,0.9695235,10.942462,0,3,355030820230819780,2024-02-27,0,1.0766646,12200180.0,19.6296296296296,92.7731431111111,1,1.0,1,83.218588,64.0791351851852,21.5371712592593,25.2962962962963,,,,,,399259
202307,2023-02-12,1294.0,1294,1294.0,1294,0.99898696,10.6064005,0,3,355030820230719774,2024-02-21,0,1.1333454,12200180.0,22.7727272727273,79.9244554545455,1,1.0,1,78.1360109090909,75.8289790909091,23.0454545454545,23.3181818181818,,,,,,399259
202306,2023-02-05,1291.0,1291,1291.0,1291,1.0,10.581811,0,3,355030820230619768,2024-02-15,0,1.2677718,12200180.0,21.5714285714286,83.9002528571429,1,1.0,1,83.15482,82.4301385714286,21.6190477142857,21.7142857142857,,,,,,399259
202305,2023-01-29,1157.0,1157,1157.0,1157,1.0,9.387247,0,3,355030820230519760,2024-02-07,0,1.3055737,12325232.0,21.2857142857143,88.5931937142857,1,1.0,1,83.7916262857143,75.5629297142857,22.1369045714286,23.7142857142857,,,,,,399259
202304,2023-01-22,1008.0,1008,1008.0,1008,1.0,8.178345,0,3,355030820230419752,2024-01-30,0,1.378222,12325232.0,21.7142857142857,76.484451,1,1.0,1,76.2450814285714,76.005712,21.8571428571429,22.0,,,,,,399259
202303,2023-01-15,927.0,927,927.0,927,1.0,7.521157,0,3,355030820230319748,2024-01-26,0,1.75663,12325232.0,22.2857142857143,82.3095042857143,1,1.0,1,82.3095042857143,82.3095042857143,22.2857142857143,22.2857142857143,,,,,,399259
202302,2023-01-08,720.0,720,720.0,720,1.0,5.841675,0,3,355030820230219748,2024-01-26,0,2.5183942,12325232.0,19.2857142857143,90.2450977142857,1,1.0,1,83.7140311428571,71.5609658571429,20.9880954285714,23.8571428571429,,,,,,399259
202301,2023-01-01,640.0,640,640.0,640,1.0,5.1926003,0,1,355030820230119741,2024-01-19,0,4.5955157,12325232.0,18.5714285714286,89.9196377142857,1,1.0,1,81.044086,66.2386978571429,20.184524,22.8571428571429,,,,,,399259
