Data,"PRECIPITA TOTAL, HORARIO (mm)"
2022-01-01,4.0
2022-01-02,6.0
2022-01-03,2.6
2022-01-04,24.6
2022-01-05,7.2
2022-01-06,1.8
2022-01-07,2.6
2022-01-08,15.2
2022-01-09,10.2
2022-01-10,0.6000000000000001
2022-01-11,35.8
2022-01-12,8.399999999999999
2022-01-13,13.8
2022-01-14,7.8
2022-01-15,0.4
2022-01-16,14.8
2022-01-17,3.2
2022-01-18,24.0
2022-01-19,8.0
2022-01-20,8.6
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,45.4
2022-01-29,44.6
2022-01-30,65.0
2022-01-31,17.0
2022-02-01,4.8
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.2
2022-02-05,5.8
2022-02-06,2.0
2022-02-07,3.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,4.0
2022-02-18,2.6
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,6.4
2022-02-24,0.2
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,19.6
2022-03-02,0.6000000000000001
2022-03-03,0.0
2022-03-04,5.800000000000001
2022-03-05,4.0
2022-03-06,0.2
2022-03-07,1.4
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,16.6
2022-03-12,32.2
2022-03-13,1.2000000000000002
2022-03-14,70.8
2022-03-15,16.400000000000002
2022-03-16,15.8
2022-03-17,17.400000000000002
2022-03-18,0.0
2022-03-19,0.2
2022-03-20,6.2
2022-03-21,0.6000000000000001
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,2.6
2022-03-26,0.2
2022-03-27,1.0
2022-03-28,8.8
2022-03-29,2.8
2022-03-30,0.0
2022-03-31,3.8
2022-04-01,7.8
2022-04-02,0.8
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.4
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.4
2022-04-09,0.8
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,13.8
2022-04-14,0.2
2022-04-15,0.0
2022-04-16,0.2
2022-04-17,0.8
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.2
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,2.6
2022-05-01,0.4
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,8.2
2022-05-05,0.2
2022-05-06,0.6000000000000001
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,4.0
2022-05-12,0.2
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,8.4
2022-05-16,0.2
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.2
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.2
2022-05-24,0.2
2022-05-25,0.2
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,20.6
2022-05-31,5.800000000000001
2022-06-01,2.6
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,1.4
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,5.2
2022-06-08,5.8
2022-06-09,11.0
2022-06-10,7.0
2022-06-11,0.2
2022-06-12,0.0
2022-06-13,0.2
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.2
2022-06-17,0.0
