Week,"PRECIPITA TOTAL, HORARIO (mm)"
2011-03-27,0.6
2011-04-03,22.400000000000002
2011-04-10,44.2
2011-04-17,11.2
2011-04-24,6.199999999999999
2011-05-01,7.2
2011-05-08,1.0
2011-05-15,15.0
2011-05-22,0.2
2011-05-29,0.6000000000000001
2011-06-05,40.800000000000004
2011-06-12,0.2
2011-06-19,0.4
2011-06-26,16.0
2011-07-03,0.6000000000000001
2011-07-10,0.4
2011-07-17,2.8000000000000003
2011-07-24,1.2
2011-07-31,4.2
2011-08-07,1.2
2011-08-14,20.2
2011-08-21,11.600000000000001
2011-08-28,29.8
2011-09-04,0.4
2011-09-11,0.0
2011-09-18,3.2
2011-09-25,0.0
2011-10-02,12.4
2011-10-09,99.0
2011-10-16,39.400000000000006
2011-10-23,13.0
2011-10-30,19.8
2011-11-06,12.799999999999999
2011-11-13,85.0
2011-11-20,10.2
2011-11-27,35.8
2011-12-04,84.2
2011-12-11,30.799999999999997
2011-12-18,19.599999999999998
2011-12-25,40.2
2012-01-01,55.6
2012-01-08,35.800000000000004
2012-01-15,149.2
2012-01-22,113.60000000000001
2012-01-29,0.2
2012-02-05,40.6
2012-02-12,48.0
2012-02-19,9.2
2012-03-04,26.8
2012-03-11,89.0
2012-03-18,43.199999999999996
2012-03-25,53.2
2012-04-01,0.6000000000000001
2012-04-08,42.2
2012-04-15,32.0
2012-04-22,26.599999999999998
2012-04-29,63.2
2012-05-06,3.4000000000000004
2012-05-13,16.0
2012-05-20,22.200000000000003
2012-05-27,11.2
2012-06-03,133.2
2012-06-10,16.799999999999997
2012-06-17,78.6
2012-06-24,0.2
2012-07-01,0.4
2012-07-08,17.6
2012-07-15,52.8
2012-07-22,0.0
2012-07-29,0.4
2012-08-05,0.6000000000000001
2012-08-12,0.2
2012-08-19,0.4
2012-08-26,0.0
2012-09-02,0.6000000000000001
2012-09-09,0.4
2012-09-16,18.200000000000003
2012-09-23,7.4
2012-09-30,5.6000000000000005
2012-10-07,25.8
2012-10-14,14.2
2012-10-21,32.2
2012-10-28,26.6
2012-11-04,72.2
2012-11-11,50.2
2012-11-18,5.8
2012-11-25,35.0
2012-12-02,2.8
2012-12-09,89.80000000000001
2012-12-16,157.8
2012-12-23,55.8
2012-12-30,47.6
2013-01-06,52.400000000000006
2013-01-13,96.4
2013-01-20,46.2
2013-01-27,76.99999999999999
2013-02-03,33.6
2013-02-10,108.0
2013-02-17,73.2
2013-02-24,32.199999999999996
2013-03-03,31.8
2013-03-10,67.2
2013-03-17,40.6
2013-03-24,19.6
2013-03-31,20.2
2013-04-07,54.0
2013-04-14,1.0
2013-04-21,0.0
2013-04-28,0.4
2013-05-05,2.4
2013-05-12,0.4
2013-05-19,17.2
2013-05-26,16.599999999999998
2013-06-02,13.8
2013-06-09,3.2000000000000006
2013-06-16,16.8
2013-06-23,98.2
2013-06-30,65.0
2013-07-07,0.6000000000000001
2013-07-14,4.0
2013-07-21,39.0
2013-07-28,0.6000000000000001
2013-08-04,0.4
2013-08-11,3.4000000000000004
2013-08-18,0.2
2013-08-25,1.6
2013-09-01,4.0
2013-09-08,0.0
2013-09-15,27.0
2013-09-22,48.0
2013-09-29,60.4
2013-10-06,0.2
2013-10-13,59.4
2013-10-20,10.4
2013-10-27,1.8
2013-11-03,65.0
2013-11-10,0.0
2013-11-17,47.4
2013-11-24,25.600000000000005
2013-12-01,39.800000000000004
2013-12-08,30.400000000000002
2013-12-15,0.0
2013-12-22,3.4000000000000004
2013-12-29,17.0
2014-01-05,37.0
2014-01-12,61.400000000000006
2014-01-19,60.800000000000004
2014-01-26,2.2
2014-02-02,4.4
2014-02-09,53.0
2014-02-16,12.799999999999999
2014-02-23,83.60000000000001
2014-03-02,51.199999999999996
2014-03-09,23.8
2014-03-16,32.6
2014-03-23,3.2
2014-03-30,10.2
2014-04-06,12.4
2014-04-13,51.199999999999996
2014-04-20,1.6
2014-04-27,0.0
2014-05-04,0.8
2014-05-11,0.6000000000000001
2014-05-18,31.6
2014-05-25,13.200000000000001
2014-06-01,14.4
2014-06-08,0.2
2014-06-15,0.4
2014-06-22,0.2
2014-06-29,0.0
2014-07-06,33.6
2014-07-13,0.8
2014-07-20,10.6
2014-07-27,2.0
2014-08-03,0.2
2014-08-10,17.799999999999997
2014-08-17,2.4
2014-08-24,9.0
2014-08-31,41.0
2014-09-07,0.0
2014-09-14,5.2
2014-09-21,25.0
2014-09-28,4.2
2014-10-05,0.0
2014-10-12,0.0
2014-10-19,13.4
2014-10-26,19.6
2014-11-02,55.8
2014-11-09,26.2
2014-11-16,3.6
2014-11-23,42.2
2014-11-30,20.6
2014-12-07,97.6
2014-12-14,15.6
2014-12-21,72.6
2014-12-28,21.799999999999997
2015-01-04,79.39999999999999
2015-01-11,32.0
2015-01-18,19.4
2015-01-25,77.2
2015-02-01,107.60000000000001
2015-02-08,11.799999999999999
2015-02-15,93.0
2015-02-22,18.200000000000003
2015-03-01,52.0
2015-03-08,34.8
2015-03-15,98.60000000000001
2015-03-22,6.8
2015-03-29,13.0
2015-04-05,2.6
2015-04-12,30.2
2015-04-19,31.8
2015-04-26,0.8
2015-05-03,13.6
2015-05-10,21.4
2015-05-17,1.0
2015-05-24,19.0
2015-05-31,8.0
2015-06-07,0.4
2015-06-14,7.4
2015-06-21,0.4
2015-06-28,57.4
2015-07-05,25.0
2015-07-12,0.2
2015-07-19,23.4
2015-07-26,0.8
2015-08-02,0.2
2015-08-09,0.6000000000000001
2015-08-16,0.4
2015-08-23,22.4
2015-08-30,3.8
2015-09-06,162.20000000000002
2015-09-13,0.2
