SE,data_iniSE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
202312,2023-03-19,70.0,70,70,70,0.99482054,20.431215,0,2,350570820231219809,2024-03-27,0,1.6284994,342613,18.6153846153846,95.7896296153846,1,1.0,1,78.3342580769231,49.5053060769231,22.5512818461538,28.4615384615385,,,,,,26660
202311,2023-03-12,39.0,39,39,39,0.7692547,11.383105,0,2,350570820231119801,2024-03-19,0,1.1890143,342613,20.2727272727273,94.1677286363636,1,0.0,1,91.6723295454545,89.5288286363636,20.6590909090909,20.9545454545455,,,,,,26660
202310,2023-03-05,54.0,54,54,54,0.9997791,15.761223,0,2,350570820231019795,2024-03-13,0,2.2854047,342613,20.5714285714286,90.9303171428571,1,1.0,1,88.5151758095238,85.8502327619048,20.9761905714286,21.4285714285714,,,,,,26660
202309,2023-02-26,29.0,29,29,29,0.894129,8.46436,0,2,350570820230919787,2024-03-05,0,1.4266905,342613,22.0869565217391,86.2499986956522,1,0.0,1,85.8296286956522,85.4188030434783,22.268115826087,22.5652173913043,,,,,,26660
202308,2023-02-19,21.0,21,21,21,0.469136,6.1293645,0,2,350570820230819780,2024-02-27,0,0.976748,342613,18.7307692307692,99.3047511538462,1,0.0,1,86.4889566923077,63.334366,21.7951504615385,26.6538461538462,,,,,,26660
202307,2023-02-12,16.0,16,16,16,0.14551398,4.669992,0,2,350570820230719774,2024-02-21,0,0.7123344,342613,21.8823529411765,88.2447072352941,1,0.0,1,86.6958917647059,85.1661911764706,22.2156863529412,22.5882352941176,,,,,,26660
202306,2023-02-05,25.0,25,25,25,0.6827302,7.2968626,0,2,350570820230619768,2024-02-15,0,1.147891,342613,20.8571428571429,95.0127842857143,1,0.0,1,94.5855528571429,94.1583214285714,20.9285714285714,21.0,,,,,,26660
202305,2023-01-29,21.0,21,21,21,0.6898665,7.58172,0,3,350570820230519760,2024-02-07,0,1.1703929,276982,21.4285714285714,91.0846917142857,1,0.0,1,85.9522194285714,77.4193122857143,22.2738094285714,23.8571428571429,,,,,,26660
202304,2023-01-22,25.0,25,25,25,0.9809348,9.025857,0,3,350570820230419752,2024-01-30,0,1.9907323,276982,21.7142857142857,81.2961521428571,1,1.0,1,81.0224321428571,80.7487121428571,21.7857142857143,21.8571428571429,,,,,,26660
202303,2023-01-15,20.0,20,20,20,0.9888045,7.220686,0,1,350570820230319748,2024-01-26,0,2.4278193,276982,22.1428571428571,88.5952594285714,1,1.0,1,88.5952594285714,88.5952594285714,22.1428571428571,22.1428571428571,,,,,,26660
202302,2023-01-08,9.0,9,9,9,0.90348035,3.2493086,0,1,350570820230219748,2024-01-26,0,2.0318062,276982,19.5714285714286,94.3624451428571,1,0.0,1,84.7196308571429,69.7495171428571,21.6309522857143,24.7142857142857,,,,,,26660
202301,2023-01-01,11.0,11,11,11,0.99735695,3.9713771,0,1,350570820230119741,2024-01-19,0,5.850566,276982,17.8571428571429,97.4935971428571,0,1.0,1,84.7314157142857,67.9771492857143,20.2440477142857,23.4285714285714,,,,,,26660
202252,2022-12-25,2.0,2,2,2,0.8454471,0.7220686,0,1,350570820225219734,2024-01-12,0,3.0956943,276982,18.6666666666667,100.0,1,0.0,0,89.80408,78.1657876666667,20.527778,23.0,,,,,,26660
202251,2022-12-18,2.0,2,2,2,0.9205706,0.7220686,0,1,350570820225119718,2023-12-27,0,5.628613,276982,18.0,88.18554,0,0.0,0,78.7949475,65.253974,19.854167,23.0,,,,,,26660
202250,2022-12-11,0.0,0,0,0,0.0,0.0,0,1,350570820225019718,2023-12-27,0,0.0,276982,17.3333333333333,96.0010216666667,0,0.0,0,80.3487966666667,61.0439386666667,20.8781566666667,25.8333333333333,,,,,,26660
202249,2022-12-04,0.0,0,0,0,0.0,0.0,0,1,350570820224919708,2023-12-17,0,0.0,276982,18.0,98.2330542857143,0,0.0,0,80.2759438571429,55.328193,22.3966451428571,27.7142857142857,,,,,,26660
202248,2022-11-27,1.0,1,1,1,0.18960115,0.3610343,0,1,350570820224819685,2023-11-24,0,0.41684723,276982,17.7142857142857,100.0,0,0.0,0,85.5919057142857,59.016608,20.7226188571429,26.2857142857143,,,,,,26660
202247,2022-11-20,0.0,0,0,0,0.0,0.0,0,1,350570820224719685,2023-11-24,0,0.0,276982,16.1428571428571,99.1132242857143,0,0.0,0,84.1473314285714,62.4118837142857,19.2519835714286,23.8571428571429,,,,,,26660
202246,2022-11-13,1.0,1,1,1,0.020119866,0.3610343,0,1,350570820224619685,2023-11-24,0,0.17745487,276982,17.8571428571429,88.31887,0,0.0,0,73.6300385714286,53.4215605714286,20.4428571428571,25.0,,,,,,26660
202245,2022-11-06,7.0,7,7,7,0.56727934,2.52724,0,1,350570820224519685,2023-11-24,0,1.0939286,276982,13.7142857142857,95.5690157142857,0,0.0,0,79.9286987142857,53.8279281428571,17.608225,23.1428571428571,,,,,,26660
202244,2022-10-30,4.0,4,4,4,0.19809115,1.4441372,0,1,350570820224419685,2023-11-24,0,0.6019879,276982,13.7142857142857,98.211892,0,0.0,0,80.0313054285714,62.7958451428571,17.0786341428571,20.7142857142857,,,,,,26660
202243,2022-10-23,8.0,8,8,8,0.6337646,2.8882744,0,1,350570820224319685,2023-11-24,0,1.1894284,276982,16.2857142857143,97.3329214285714,0,0.0,0,76.1492842857143,49.247917,20.8837304285714,27.2857142857143,,,,,,26660
202242,2022-10-16,6.0,6,6,6,0.42316753,2.1662056,0,1,350570820224219685,2023-11-24,0,0.899942,276982,17.4285714285714,96.5888928571429,0,0.0,0,79.6410021428571,53.8379927142857,20.4842134285714,25.5714285714286,,,,,,26660
202241,2022-10-09,7.0,7,7,7,0.5561686,2.52724,0,1,350570820224119685,2023-11-24,0,1.0774255,276982,17.1428571428571,98.2591877142857,0,0.0,0,87.4698857142857,62.2818174285714,19.8066771428571,25.4285714285714,,,,,,26660
202240,2022-10-02,7.0,7,7,7,0.5836663,2.52724,0,1,350570820224019685,2023-11-24,0,1.1191121,276982,15.5714285714286,98.2330542857143,0,0.0,0,80.5302642857143,58.3320092857143,18.7765151428571,23.4285714285714,,,,,,26660
202239,2022-09-25,6.0,6,6,6,0.57448894,2.1662056,0,1,350570820223919685,2023-11-24,0,1.1133243,276982,14.0,98.27523,0,0.0,0,90.4690714285714,77.233487,15.7554944285714,18.8571428571429,,,,,,26660
202238,2022-09-18,7.0,7,7,7,0.78450114,2.52724,0,1,350570820223819685,2023-11-24,0,1.5749674,276982,12.1428571428571,96.3778242857143,0,0.0,0,80.1743787142857,54.3010842857143,15.7002165714286,20.8571428571429,,,,,,26660
202237,2022-09-11,6.0,6,6,6,0.64662504,2.1662056,0,1,350570820223719685,2023-11-24,0,1.2470201,276982,13.5714285714286,100.0,0,0.0,0,90.1127565714286,77.4007047142857,14.7936505714286,16.5714285714286,,,,,,26660
202236,2022-09-04,3.0,3,3,3,0.18331748,1.0831028,0,1,350570820223619685,2023-11-24,0,0.54752654,276982,13.5714285714286,91.3412837142857,0,0.0,0,73.8530071428571,44.8128845714286,17.875,25.1428571428571,,,,,,26660
202235,2022-08-28,4.0,4,4,4,0.38310385,1.4441372,0,1,350570820223519685,2023-11-24,0,0.8260436,276982,10.7142857142857,95.4486214285714,0,0.0,0,80.3560257142857,57.4881458571429,14.0913798571429,19.1428571428571,,,,,,26660
202234,2022-08-21,8.0,8,8,8,0.83973086,2.8882744,0,1,350570820223419685,2023-11-24,0,1.7346491,276982,13.5714285714286,91.9735342857143,0,0.0,0,75.6348818571429,49.1121288571429,16.7944138571429,21.7142857142857,,,,,,26660
202233,2022-08-14,4.0,4,4,4,0.24722427,1.4441372,0,1,350570820223319685,2023-11-24,0,0.65888435,276982,12.4285714285714,87.4127851428571,0,0.0,0,70.8119067142857,49.5372775714286,16.3014068571429,21.7142857142857,,,,,,26660
202232,2022-08-07,3.0,3,3,3,0.07386644,1.0831028,0,1,350570820223219685,2023-11-24,0,0.4054571,276982,13.2857142857143,98.2127914285714,0,0.0,0,83.3822514285714,57.0141755714286,16.0076528571429,20.1428571428571,,,,,,26660
202231,2022-07-31,6.0,6,6,6,0.3123803,2.1662056,0,1,350570820223119685,2023-11-24,1,0.7735,276982,11.5714285714286,95.6267848571429,0,0.0,0,79.8626802857143,60.0067572857143,15.2916667142857,20.1428571428571,,,,,,26660
202230,2022-07-24,10.0,10,10,10,0.60148937,3.610343,0,1,350570820223019685,2023-11-24,0,1.1227796,276982,12.2857142857143,94.0953862857143,0,0.0,1,73.092707,45.5872324285714,17.1773918571429,23.4285714285714,,,,,,26660
202229,2022-07-17,5.0,5,5,5,0.075813785,1.8051715,0,1,350570820222919685,2023-11-24,1,0.48021334,276982,14.4285714285714,97.2849505714286,0,0.0,0,76.6939872857143,49.9475435714286,18.4503965714286,24.2857142857143,,,,,,26660
202228,2022-07-10,10.0,10,10,10,0.39433149,3.610343,0,1,350570820222819685,2023-11-24,1,0.892061,276982,14.2857142857143,94.8981785714286,0,0.0,1,77.8517798571429,53.4366652857143,17.7156864285714,22.7142857142857,,,,,,26660
202227,2022-07-03,10.0,10,10,10,0.37681642,3.610343,0,1,350570820222719685,2023-11-24,3,0.8753479,276982,11.4285714285714,99.1065457142857,0,0.0,1,74.4595045714286,43.3356452857143,17.1709957142857,24.0,,,,,,26660
202226,2022-06-26,13.0,13,13,13,0.43645522,4.6934457,0,1,350570820222619685,2023-11-24,1,0.9409748,276982,12.1428571428571,100.0,0,0.0,1,84.8924977142857,54.8308625714286,15.9267295714286,21.8571428571429,,,,,,26660
202225,2022-06-19,10.0,10,10,10,0.057691123,3.610343,0,1,350570820222519685,2023-11-24,0,0.5503502,276982,13.0,98.2130157142857,0,0.0,1,79.8523005714286,53.0172445714286,17.4226191428571,23.1428571428571,,,,,,26660
202224,2022-06-12,10.0,10,10,10,0.02159071,3.610343,0,1,350570820222419685,2023-11-24,0,0.4767761,276982,9.71428571428571,96.3741485714286,0,0.0,1,77.6022721428571,44.7927224285714,14.3338508571429,20.7142857142857,,,,,,26660
202223,2022-06-05,23.0,23,23,23,0.46631625,8.303789,0,1,350570820222319685,2023-11-24,1,0.9757452,276982,14.4285714285714,99.1132242857143,0,0.0,1,90.5583005714286,77.0320127142857,16.4743198571429,19.5714285714286,,,,,,26660
202222,2022-05-29,19.0,19,19,19,0.039364863,6.8596516,0,1,350570820222219685,2023-11-24,5,0.6070109,276982,15.2857142857143,98.2370428571429,0,0.0,1,84.2533685714286,67.646896,17.8732997142857,21.8571428571429,,,,,,26660
