Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2013-01-01,00:00,0,"24,1","22,8",88,68,68
2013-01-01,01:00,0,"24,1","22,5",75,67,68
2013-01-01,02:00,",2","23,1","20,5",85,68,84
2013-01-01,03:00,0,"21,3","20,4",86,81,85
2013-01-01,04:00,0,"20,9","20,2",88,85,88
2013-01-01,05:00,0,"20,6","19,9",90,86,86
2013-01-01,06:00,0,"20,6","19,4",91,86,86
2013-01-01,07:00,0,"20,6",20,86,83,84
2013-01-01,08:00,0,"20,6","20,1",86,83,86
2013-01-01,09:00,0,"20,4","19,5",89,85,89
2013-01-01,10:00,0,22,"19,9",89,78,78
2013-01-01,11:00,0,"24,3",22,78,71,71
2013-01-01,12:00,0,"26,9","24,3",72,62,64
2013-01-01,13:00,0,"28,2","26,3",65,56,58
2013-01-01,14:00,0,30,"27,5",60,51,52
2013-01-01,15:00,0,"30,3","28,9",54,48,50
2013-01-01,16:00,0,"30,7","28,6",57,48,48
2013-01-01,17:00,0,"31,2","29,4",56,46,47
2013-01-01,18:00,9,"31,7","20,7",84,47,84
2013-01-01,19:00,"6,4","20,7","19,4",94,85,93
2013-01-01,20:00,0,"21,6","20,2",93,83,85
2013-01-01,21:00,0,"21,7","20,7",91,84,84
2013-01-01,22:00,0,"22,2",21,88,84,86
2013-01-01,23:00,0,"22,4","20,9",90,83,87
2013-01-02,00:00,0,"22,3","21,3",88,84,86
2013-01-02,01:00,0,"21,8","20,5",89,84,89
2013-01-02,02:00,0,"21,2","20,6",89,86,88
2013-01-02,03:00,0,21,"20,2",91,88,89
2013-01-02,04:00,0,"20,8",20,91,88,91
2013-01-02,05:00,0,"20,3",20,92,91,92
2013-01-02,06:00,0,"20,6","20,3",92,92,92
2013-01-02,07:00,0,"20,5","20,1",92,91,92
2013-01-02,08:00,0,"20,5","19,9",92,92,92
2013-01-02,09:00,0,"20,3","19,9",93,92,93
2013-01-02,10:00,0,"20,8","20,1",93,92,92
2013-01-02,11:00,0,"21,3","20,7",92,87,88
2013-01-02,12:00,0,"23,1","21,1",88,80,83
2013-01-02,13:00,0,"22,4","21,2",89,82,85
2013-01-02,14:00,0,25,"22,4",85,71,71
2013-01-02,15:00,0,"26,4","24,5",75,65,73
2013-01-02,16:00,",2","26,7","21,8",83,65,82
2013-01-02,17:00,1,"21,8","20,9",88,78,78
2013-01-02,18:00,0,"21,9",20,82,76,81
2013-01-02,19:00,0,"20,6","19,9",81,77,78
2013-01-02,20:00,0,"20,5","19,3",82,76,81
2013-01-02,21:00,0,"19,9","19,3",81,79,79
2013-01-02,22:00,",2","19,3","17,6",91,79,91
2013-01-02,23:00,0,"17,6","16,9",93,91,93
2013-01-03,00:00,",2","17,2","16,9",93,93,93
2013-01-03,01:00,",4","17,1","16,9",94,93,94
2013-01-03,02:00,0,"17,4",17,94,92,92
2013-01-03,03:00,0,"17,5","17,3",93,92,92
2013-01-03,04:00,0,"17,7","17,4",92,89,90
2013-01-03,05:00,0,"17,7","17,4",93,90,93
2013-01-03,06:00,0,"17,8","17,5",93,91,91
2013-01-03,07:00,0,"18,1","17,7",91,87,87
2013-01-03,08:00,0,"18,1",18,89,87,89
2013-01-03,09:00,0,"18,1","17,9",90,89,89
2013-01-03,10:00,0,"18,4",18,89,87,87
2013-01-03,11:00,0,"18,4",18,90,86,90
2013-01-03,12:00,0,"18,9","18,1",90,86,86
2013-01-03,13:00,",4","19,4","18,9",88,85,87
2013-01-03,14:00,1,"19,4",19,90,87,88
2013-01-03,15:00,",6","19,2","18,7",91,88,89
2013-01-03,16:00,0,"19,5","18,5",90,88,88
2013-01-03,17:00,0,"20,3","19,5",88,81,82
2013-01-03,18:00,0,"20,4","19,5",85,81,84
2013-01-03,19:00,0,"20,5","19,6",84,79,81
2013-01-03,20:00,0,"19,7","19,1",85,81,85
2013-01-03,21:00,0,"19,5","19,1",85,83,85
2013-01-03,22:00,0,"19,3","18,7",85,82,85
2013-01-03,23:00,0,"18,8","18,5",86,84,84
2013-01-04,00:00,0,"18,8","18,5",87,84,86
2013-01-04,01:00,0,"18,6","18,3",90,86,89
2013-01-04,02:00,0,"18,7","18,4",89,88,89
