SE,data_iniSE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
202312,2023-03-19,140.0,140,140,140,0.99585164,18.016905,0,4,353440120231219809,2024-03-27,0,1.4094037,777048,18.6153846153846,95.7896296153846,1,1,2,78.3342580769231,49.5053060769231,22.5512818461538,28.4615384615385,,,,,,21197
202311,2023-03-12,106.0,106,106,106,0.9342265,13.641371,0,4,353440120231119801,2024-03-19,0,1.2439393,777048,20.2727272727273,94.1677286363636,1,0,2,91.6723295454545,89.5288286363636,20.6590909090909,20.9545454545455,,,,,,21197
202310,2023-03-05,102.0,102,102,102,0.9902788,13.126602,0,4,353440120231019795,2024-03-13,0,1.4289004,777048,20.5714285714286,90.9303171428571,1,1,2,88.5151758095238,85.8502327619048,20.9761905714286,21.4285714285714,,,,,,21197
202309,2023-02-26,90.0,90,90,90,0.9905507,11.582296,0,2,353440120230919787,2024-03-05,0,1.4683577,777048,22.0869565217391,86.2499986956522,1,1,2,85.8296286956522,85.4188030434783,22.268115826087,22.5652173913043,,,,,,21197
202308,2023-02-19,62.0,62,62,62,0.8816631,7.978915,0,3,353440120230819780,2024-02-27,0,1.2509823,777048,18.7307692307692,99.3047511538462,1,0,1,86.4889566923077,63.334366,21.7951504615385,26.6538461538462,,,,,,21197
202307,2023-02-12,68.0,68,68,68,0.99953705,8.751068,0,3,353440120230719774,2024-02-21,0,1.9512153,777048,21.8823529411765,88.2447072352941,1,1,1,86.6958917647059,85.1661911764706,22.2156863529412,22.5882352941176,,,,,,21197
202306,2023-02-05,51.0,51,51,51,0.9996733,6.563301,0,3,353440120230619768,2024-02-15,0,2.2802198,777048,20.8571428571429,95.0127842857143,1,1,1,94.5855528571429,94.1583214285714,20.9285714285714,21.0,,,,,,21197
202305,2023-01-29,35.0,35,35,35,0.9981184,5.0004,0,2,353440120230519760,2024-02-07,0,2.3360822,699944,21.4285714285714,91.0846917142857,1,1,1,85.9522194285714,77.4193122857143,22.2738094285714,23.8571428571429,,,,,,21197
202304,2023-01-22,16.0,16,16,16,0.89619994,2.2858973,0,2,353440120230419752,2024-01-30,0,1.6422094,699944,21.7142857142857,81.2961521428571,1,0,1,81.0224321428571,80.7487121428571,21.7857142857143,21.8571428571429,,,,,,21197
202303,2023-01-15,18.0,18,18,18,0.99275494,2.5716343,0,1,353440120230319748,2024-01-26,0,2.816599,699944,22.1428571428571,88.5952594285714,1,1,1,88.5952594285714,88.5952594285714,22.1428571428571,22.1428571428571,,,,,,21197
202302,2023-01-08,7.0,7,7,7,0.78093284,1.00008,0,1,353440120230219748,2024-01-26,0,1.5627127,699944,19.5714285714286,94.3624451428571,1,0,0,84.7196308571429,69.7495171428571,21.6309522857143,24.7142857142857,,,,,,21197
202301,2023-01-01,6.0,6,6,6,0.8384086,0.8572114,0,1,353440120230119741,2024-01-19,0,1.8924154,699944,17.8571428571429,97.4935971428571,0,0,0,84.7314157142857,67.9771492857143,20.2440477142857,23.4285714285714,,,,,,21197
202252,2022-12-25,4.0,4,4,4,0.7435105,0.5714743,0,1,353440120225219734,2024-01-12,0,1.6306977,699944,18.6666666666667,100.0,1,0,0,89.80408,78.1657876666667,20.527778,23.0,,,,,,21197
202251,2022-12-18,2.0,2,2,2,0.47637928,0.28573716,0,1,353440120225119718,2023-12-27,0,0.9485907,699944,18.0,88.18554,0,0,0,78.7949475,65.253974,19.854167,23.0,,,,,,21197
202250,2022-12-11,3.0,3,3,3,0.6367694,0.4286057,0,1,353440120225019718,2023-12-27,0,1.3268757,699944,17.3333333333333,96.0010216666667,0,0,0,80.3487966666667,61.0439386666667,20.8781566666667,25.8333333333333,,,,,,21197
202249,2022-12-04,2.0,2,2,2,0.26458618,0.28573716,0,1,353440120224919708,2023-12-17,0,0.600026,699944,18.0,98.2330542857143,0,0,0,80.2759438571429,55.328193,22.3966451428571,27.7142857142857,,,,,,21197
202248,2022-11-27,1.0,1,1,1,0.03314015,0.14286858,0,1,353440120224819685,2023-11-24,0,0.20344737,699944,17.7142857142857,100.0,0,0,0,85.5919057142857,59.016608,20.7226188571429,26.2857142857143,,,,,,21197
202247,2022-11-20,4.0,4,4,4,0.15747744,0.5714743,0,1,353440120224719685,2023-11-24,0,0.5544101,699944,16.1428571428571,99.1132242857143,0,0,0,84.1473314285714,62.4118837142857,19.2519835714286,23.8571428571429,,,,,,21197
202246,2022-11-13,4.0,4,4,4,0.04466555,0.5714743,0,1,353440120224619685,2023-11-24,0,0.39723837,699944,17.8571428571429,88.31887,0,0,0,73.6300385714286,53.4215605714286,20.4428571428571,25.0,,,,,,21197
202245,2022-11-06,7.0,7,7,7,0.114720054,1.00008,0,1,353440120224519685,2023-11-24,0,0.57828677,699944,13.7142857142857,95.5690157142857,0,0,0,79.9286987142857,53.8279281428571,17.608225,23.1428571428571,,,,,,21197
202244,2022-10-30,10.0,10,10,10,0.40160972,1.4286857,0,1,353440120224419685,2023-11-24,0,0.89908105,699944,13.7142857142857,98.211892,0,0,1,80.0313054285714,62.7958451428571,17.0786341428571,20.7142857142857,,,,,,21197
202243,2022-10-23,14.0,14,14,14,0.9193905,2.00016,0,1,353440120224319685,2023-11-24,0,1.828586,699944,16.2857142857143,97.3329214285714,0,0,1,76.1492842857143,49.247917,20.8837304285714,27.2857142857143,,,,,,21197
202242,2022-10-16,14.0,14,14,14,0.9639142,2.00016,0,1,353440120224219685,2023-11-24,0,2.2588267,699944,17.4285714285714,96.5888928571429,0,1,1,79.6410021428571,53.8379927142857,20.4842134285714,25.5714285714286,,,,,,21197
202241,2022-10-09,6.0,6,6,6,0.29688787,0.8572114,0,1,353440120224119685,2023-11-24,0,0.75681084,699944,17.1428571428571,98.2591877142857,0,0,0,87.4698857142857,62.2818174285714,19.8066771428571,25.4285714285714,,,,,,21197
202240,2022-10-02,2.0,2,2,2,0.010944006,0.28573716,0,1,353440120224019685,2023-11-24,0,0.22298814,699944,15.5714285714286,98.2330542857143,0,0,0,80.5302642857143,58.3320092857143,18.7765151428571,23.4285714285714,,,,,,21197
202239,2022-09-25,11.0,11,11,11,0.77276284,1.5715543,0,1,353440120223919685,2023-11-24,0,1.4042034,699944,14.0,98.27523,0,0,1,90.4690714285714,77.233487,15.7554944285714,18.8571428571429,,,,,,21197
202238,2022-09-18,9.0,9,9,9,0.80138564,1.2858171,0,1,353440120223819685,2023-11-24,0,1.540327,699944,12.1428571428571,96.3778242857143,0,0,1,80.1743787142857,54.3010842857143,15.7002165714286,20.8571428571429,,,,,,21197
202237,2022-09-11,10.0,10,10,10,0.9038953,1.4286857,0,1,353440120223719685,2023-11-24,0,1.9538647,699944,13.5714285714286,100.0,0,0,1,90.1127565714286,77.4007047142857,14.7936505714286,16.5714285714286,,,,,,21197
202236,2022-09-04,3.0,3,3,3,0.22533612,0.4286057,0,1,353440120223619685,2023-11-24,0,0.5985055,699944,13.5714285714286,91.3412837142857,0,0,0,73.8530071428571,44.8128845714286,17.875,25.1428571428571,,,,,,21197
202235,2022-08-28,6.0,6,6,6,0.5553956,0.8572114,0,1,353440120223519685,2023-11-24,0,1.082317,699944,10.7142857142857,95.4486214285714,0,0,0,80.3560257142857,57.4881458571429,14.0913798571429,19.1428571428571,,,,,,21197
202234,2022-08-21,5.0,5,5,5,0.23828669,0.71434283,0,1,353440120223419685,2023-11-24,3,0.67422366,699944,13.5714285714286,91.9735342857143,0,0,0,75.6348818571429,49.1121288571429,16.7944138571429,21.7142857142857,,,,,,21197
202233,2022-08-14,4.0,4,4,4,0.095535964,0.5714743,0,1,353440120223319685,2023-11-24,4,0.47656673,699944,12.4285714285714,87.4127851428571,0,0,0,70.8119067142857,49.5372775714286,16.3014068571429,21.7142857142857,,,,,,21197
202232,2022-08-07,7.0,7,7,7,0.48946977,1.00008,0,1,353440120223219685,2023-11-24,2,0.9864423,699944,13.2857142857143,98.2127914285714,0,0,0,83.3822514285714,57.0141755714286,16.0076528571429,20.1428571428571,,,,,,21197
202231,2022-07-31,13.0,13,13,13,0.88566166,1.8572915,0,1,353440120223119685,2023-11-24,2,1.6949259,699944,11.5714285714286,95.6267848571429,0,0,1,79.8626802857143,60.0067572857143,15.2916667142857,20.1428571428571,,,,,,21197
